form,meaning,type,etymology
冶,"to smelt, to fuse metals, to cast",,
冷,"cold, cool; lonely",pictophonetic,ice
泯,"to destroy, to eliminate; to perish",pictophonetic,water
冼,surname,pictophonetic,
冽,"cold and raw; pure, clear",pictophonetic,ice
凄,"bitter cold, miserable, dreary",pictophonetic,ice
准,"standard, accurate; to permit, to approve, to allow",pictophonetic,water in a spirit level
凇,dewdrop; icicle,pictophonetic,ice
净,"clean, pure; to cleanse",pictophonetic,water
凋,"withered, fallen; exhausted",pictophonetic,ice
凌,pure; virtuous; to insult; to maltreat,pictophonetic,ice
冻,"cold; to freeze, to congeal; jelly",pictophonetic,ice
凛,to shiver with cold or fear,pictophonetic,ice
凝,"to coagulate, to congeal; to freeze",pictophonetic,ice
几,"small table; how many; a few, some",pictographic,A small table; compare 丌
凡,"any, every, all; common, ordinary",ideographic,A plate or flat dish; an everyday item
処,"place, locale; department",pictophonetic,go
凰,female phoenix,pictophonetic,
凯,"triumphant; triumph, victory",,
凳,bench; stool,pictophonetic,table
凭,to lean on; to rely on,ideographic,Leaning on (trusting) 任 a table 几
凵,container; receptacle,pictographic,A tray
凸,"to protrude, to bulge out; convex",ideographic,A rectangle with a bulge
凹,"concave, hollow; depressed; pass, valley",ideographic,A rectangle with a hollow
出,"to go out, to send out; stand; produce",ideographic,A sprout 屮 growing out of a container 凵
凼,ditch; pool,ideographic,Water 水 in a container 凵
函,"correspondence; a case, a box",ideographic,Letters placed in a container 凵
刀,knife; old coin; measure,,
刁,"tricky, sly, crafty, cunning",,
刂,knife,,
刃,"edged tool, cutlery, knife edge",ideographic,A knife 刀 sharp enough to draw blood 丶
分,"to divide, to allocate; fraction; small unit of time or other quantity",ideographic,Pieces 八 being further subdivided with a knife 刀 
切,"to cut, to mince, to slice, to carve; close to; eager",pictophonetic,knife
刈,"to cut off, to reap, to mow; sickle",pictophonetic,knife
刊,"publication, periodical; to publish, to print",pictophonetic,knife
刎,"to behead, to cut the throat",pictophonetic,knife
刑,"punishment, penalty; law",ideographic,A man 刂 in jail 开
划,to row or paddle a boat; to scratch; to plan; profitable,,
刖,cutting off the feet as a form of punishment,pictophonetic,knife
列,"a line; to arrange, to classify",pictophonetic,line
初,"beginning, initial, primary",ideographic,Cutting 刀 the cloth 衤 is the first step in making clothes
判,to judge; to discriminate; to conclude,pictophonetic,knife
别,"to separate, to distinguish, to classify; to leave; other; do not, must not",ideographic,To draw boundaries 刂 between classes 另
劫,"to take by force, to coerce; disaster; misfortune",pictophonetic,strength
刨,"carpenter's plane; plane, level",pictophonetic,knife
利,"gains, advantage, profit, merit",ideographic,Harvesting 刂 grain 禾
删,to delete; to cut; to censor,ideographic,To cut 刂 out passages from a book 册
刮,to shave; to scrape; to blow,pictophonetic,knife
到,"to go to, to arrive",pictophonetic,arrive
刳,"to cut open, to dig out, to rip up, to scoop out",pictophonetic,knife
制,system; to establish; to manufacture; to overpower,pictophonetic,knife
刷,"brush; to clean, to scrub",ideographic,A person bent over 尸 with a towel 巾
券,"bond, certificate, deed; ticket; contract",pictophonetic,knife
刺,"to stab; to prick, to irritate; to prod",pictophonetic,knife
刻,"to carve, to engrave; a quarter hour; a moment",pictophonetic,knife
剁,"to chop by pounding, to hash, to mince",pictophonetic,knife
剃,to shave,pictophonetic,knife
刭,to cut the throat,pictophonetic,knife
则,"rule, law, regulation; grades",ideographic,Laws inscribed 刂 on a slate 贝
锉,carpenter's file; to file smooth,pictophonetic,metal
削,"to pare, to scrape, to trim",pictophonetic,knife
剋,"to subdue, to restrain, to overcome; used in transliterations",ideographic,A weapon 刂 used to subdue 十 a beast 兄
剌,"to slash, to cut in two; to contradict",pictophonetic,knife
前,"in front, forward; former, preceding",,
刹,"temple, shrine, monastary; an instant, a moment; to brake",pictophonetic,knife
创,"to establish, to create; cut, wound, trauma",pictophonetic,knife
剔,to pick out; to scrape off; picky,pictophonetic,knife
剖,"to bisect, to dissect, to slice",pictophonetic,knife
刚,"hard, strong, tough; just, barely",pictophonetic,knife
剜,"to cut; to cut out, to pick out, to scoop out",pictophonetic,knife
剥,"to peel, to skin; to exploit",pictophonetic,knife
剞,carving or engraving; knife; grave,pictophonetic,knife
剡,"sharp, pointed; to sharpen",pictophonetic,knife
剩,"leftovers, residue, remains",pictophonetic,knife
剪,"scissors; to cut, to divide, to separate",pictophonetic,knife
剐,to cut; to sever flesh from bone,pictophonetic,knife
副,"to assist, to supplement; assistant; secondary; auxiliary",pictophonetic,knife
割,"to cut, to divide, to partition; to cede",pictophonetic,knife
剳,"note, memo, official communique",pictophonetic,answer
札,"letter, note; correspondence",,
剀,"to sharpen; careful, thorough",pictophonetic,knife
铲,"spade, shovel; trowel, scoop",pictophonetic,metal
戮,"to kill, to massacre; to oppress",pictophonetic,spear
剽,"to rob, to plunder, to slice off; nimble, quick",pictophonetic,knife
剿,"to annihilate, to destroy, to exterminate",pictophonetic,knife
劁,"to castrate, to neuter",pictophonetic,knife
劂,chisel; to engrave,pictophonetic,knife
劄,"memo, note, official communique",pictophonetic,answer
剧,"theatrical plays, opera, drama; severe, acute",pictophonetic,knife
劈,"to chop, to cut apart; to split",pictophonetic,knife
刘,"to kill, to destroy; surname",pictophonetic,knife
刽,"to amputate, to cut off",pictophonetic,knife
刿,"to cut, to injure, to stab; to stick on",pictophonetic,knife
剑,"sword, dagger, saber",pictophonetic,knife
劐,to destroy,pictophonetic,knife
剂,dose; medicine; measure word for medicines,pictophonetic,knife
劓,to cut off the nose,ideographic,To cut 刂 the nose 鼻; 鼻 also provides the pronunciation
力,"strength, power; capability, influence",ideographic,A plow's head representing strength
功,"achievement, good work; merit; service",ideographic,Results produced by capable 力 labor 工; 工 also provides the pronunciation
加,"to add to, to increase, to augment",ideographic,Supporting a cause with the strength 力 of one's words 口
劣,"low-quality, inferior, bad",pictophonetic,inadequate
劦,"to cooperate, to work together; joint labor",ideographic,Many people working 力 together
助,"to help, to aid, to assist",pictophonetic,strength
努,"to exert, to strive, to make an effort; to pout",pictophonetic,strength
劬,"diligent; to toil, to endeavor",pictophonetic,strength
劭,to encourage; to excel; excellent,pictophonetic,strength
劵,"certificate, ticket; title deed",pictophonetic,strength
劼,"cautious, discreet, prudent",pictophonetic,strength
劾,"to look into; to impeach, to charge",pictophonetic,strength
劲,"strong, tough, unyielding; power, energy",pictophonetic,strength
勃,"thriving, prosperous; sudden, quick",pictophonetic,strength
敕,an imperial order or decree,pictophonetic,script
勇,"brave, courageous, fierce",pictophonetic,strength
勈,brave,pictophonetic,strength
勉,"to endeavor, to make an effort; to urge",pictophonetic,strength
勐,imperial decree; daoist magic,pictophonetic,strength
勒,to strangle; to tighten,pictophonetic,strength
动,"to move, to happen; movement, action",pictophonetic,strength
勖,to advise; to exhort; to preach to,pictophonetic,strength
勘,"to investigate; to survey, to explore; to compare; to collate",pictophonetic,strength
务,"affairs, business; should; must",,
勋,"deeds, feats; merit; rank",pictophonetic,strength
胜,"victory; to excel, to truimph",pictophonetic,flesh
劳,"to labor, to toil; to do manual work",ideographic,A man lifting 力 a load 冖 of grass 艹
募,"to levy, to raise; to recruit; to summon",pictophonetic,strength
势,"power, force; tendency, attitude",pictophonetic,strength
勤,"industrious, diligent, attentive",pictophonetic,strength
勰,"peaceful, harmonious",pictophonetic,think
劢,"to put forth effort, to strive for",pictophonetic,strength
励,to encourage; to strive,pictophonetic,strength
劝,"to recommend, to advise; to urge, to exhort",ideographic,The power 力 beside 又 the throne
勹,wrap,,
勺,"spoon, ladle; unit of volume",ideographic,A spoon 勹 with something in it 丶
匀,"equal; even, uniform",ideographic,Using a spoon 勹 to measure out two equal parts 冫
勾,"to hook, to join, to connect; to entice",,
勿,"must not, do not; without, never",ideographic,A knife 勹 cutting fragments 丿 off
包,"wrap, pack, bundle; package",ideographic,To swaddle 勹 a baby 巳; 勹 also provides the pronunciation
匆,"hastily, hurriedly, in a rush",,
匈,"breast, chest, thorax; to clamor; Hungary",pictophonetic,wrap
匊,handful,ideographic,A handful of rice 米 in a bowl 勹
匋,pottery,pictophonetic,pottery
匍,to crawl; to lie prostrate,pictophonetic,wrap
匏,gourd; musical instrument,pictophonetic,extravagant
匐,to crawl; to lie prostrate,pictophonetic,wrap
匕,"spoon, ladle; knife, dirk",pictographic,A spoon
化,"to change, to convert, to reform; -ize",,
北,north; northern; northward,pictographic,"Two people 匕 sitting back-to-back; phonetic loan for ""north"""
匙,spoon; surname,pictophonetic,spoon
匚,box; basket,,
匝,full circle; to encircle,,
炕,the brick-bed in northern China,pictophonetic,fire
匠,"artisan, craftsman, workman",,
匡,"to correct, to revise; to restore",pictophonetic,box
匣,"case, coffer, small box",pictophonetic,box
匧,"trunk, suitcase; portfolio",pictophonetic,box
匪,"bandits, robbers, gangsters",pictophonetic,basket
匦,"chest, casket, small box",pictophonetic,box
汇,"to gather, to collect; confluence",ideographic,Water 氵 collected in a container 匚
匮,"to lack; lacking, deficient; exhausted; empty",pictophonetic,box
奁,lady's vanity case; trousseau,ideographic,A man 大 packing a suitcase 区
匸,box,,
匹,"bolt of cloth; mate, one of a pair; measure word for horses",pictographic,A roll of cloth
匽,"to hide, to repress; to bend",pictophonetic,box
匾,"a board, sign, or tablet made from bamboo",ideographic,A board 扁 made of bamboo 匸; 扁 also provides the pronunciation
匿,to hide; to go into hiding,pictophonetic,box
区,"area, district, region, ward; surname",ideographic,A place 匸 under a lord's control 乂
十,"ten, tenth; complete; perfect",,
卂,to fly rapidly,,
千,"thousand; many, numerous; very",,
卄,"twenty, twentieth",ideographic,Two tens 十 side by side
卅,"thirty, thirtieth",ideographic,Three tally marks; compare ten 十 and twenty 廿
升,"to advance; to arise; to hoist, to raise",,
午,noon; 7th terrestrial branch,,
卉,general term for plants; myriads,ideographic,Ten 十 different types of grass 艹
半,"half; semi-, incomplete",ideographic,A cow 牛 splitting 丷 wood in half
卌,"forty, fortieth",ideographic,"Four tally marks; compare ten 十, twenty 廿, and thirty 卅"
卑,"humble, low, inferior; to despise",ideographic,A hand 又(altered) holding an empty shell 甲 (altered)
卓,"profound, lofty, brilliant",ideographic,To foresee ⺊ the dawn 早 coming; 早 also provides the pronunciation
协,"to assist; to cooperate, to join; to harmonize",pictophonetic,manage
南,south; southern; southward,pictographic,A musical bell
博,"to gamble, to play games; to win; rich, plentiful, extensive; wide, broad",pictophonetic,ten
卜,"divination, fortune-telling; prophecy",pictographic,A crack on an oracle bone
卞,"to be impatient; hasty, excitable",,
卟,a chemical compound; divination; to consider,ideographic,To speak 口 of the future 卜; 卜 also provides the pronunciation
